document,label
이럴땐 막걸리 한잔~~~,0
나무를 10번 찍을 생각 하지 말고 10번을 찍힐 나무를 생각해라,1
막상 종전선언 되면 거품물고 반대할 놈들이 아닌가?,1
헛소리 그만 하라. 대한민국을 미.북 전쟁터로 만들 것인가? 종전선언과 평화협정 꾸준히 밀고 나가야 합니다.한반도 전쟁은 초토화되어 사람이 살수 없는 땅으로 변해 버림니다.한국전은 다른나라 전쟁과 다름니다. 3분의2가 산악지대로 현대첨단무기로 15일전이면 남.북 모두 초토화되어 버림니다. 6.25와는 다름니다. 전쟁 전자도 모르는 사람들이 전쟁을 두려워 하지 않고 있습니다.,1
"<짝사랑이 지나치면 집착이 되고, 집착이 지나치면 스토킹> ---> 서울시장, 대통령이 되고 싶어 우왕자왕 여기 기웃 저기 기웃 안초딩의 국민 짝사랑/집착은 고로 스토킹임",0
그럼뭘해야되는지 대안을내라고? 전쟁을하라고하던가! 비판만하지말고,1
제발 그입다물라 ~~~~~,1
철수는 가만이 있으면 30점입뻥긋하면 -30점 말을할때는 주변 사람들과 상의하고 하는것이 좋을듯,1
퇴임후문재인을 어떻게 할 것인지 반드시 생각해야 한다..,1
여자하나하고 너하고 둘이서 뭐하니 철수야 나하고 놀자하니 바보자식,1
안철수에게 힘을...지지합니다!!정말..문지지자들테 궁굼해서 물어봐요...종전선언하면 뭐가 달라지나요???ㅡㅡ??진짜 궁굼해..진짜 ㅋㅋㅋㅋ,1
니가 하면 더 잘할것 같지? 착각이야,1
컴퓨터만 잘 하는 자폐인 놈ᆢ 누굴까ㆍ,1
철수야 너는 정치에는 전혀 안대 그냥 미국 가서 공부좀하세나,1
공격으로는 홍준표가 제일잘한지. 간철수론 무리다,1
이런 과정을 노력이라고 합니다.그러는 당신은 어떤 노력을 하고 있나요?점점 실망스런 모습 보이지 않으시길...,1
너 따위가 감히 따라할수 없는 행동이지.,1
한심한 권은희 아바타 안칠수 이젠 니 얼굴만봐도 차하고 짜증난다 지발 정계은퇴해라 한심한 바보야,1
한반도에 평화가 정착되야 우리가 잘사는 길이다이것을 모르는 사람이 있는 것 같아 한심하네똥은 무서워서 피하는게 아니라 더러워서 피한다,1
��안철수 (왓튼스쿨경제학 전공) 💙문죄잉 (변호사출신) ■격 이 다르다 《부채5000조 ●변호사출신이 무슨 경제를 ●알겠어 ㆍ똥꼬집만.......,1
종전선언은 좌8들 자신의 정치적입지와 자신들 대대로 세습 잘먹고 잘살겠다는 이기주의적인 가치관에서 나온 말 좌8들 특징이 종전선언과 자신 나라에 수레기 외국인 불체자 난민 유입 번식시켜 나라 전복시키는데 큰 의의를 두고 있지 좌8재앙이와 미국의 민주당 가치관이 일맥상통,1
스토커 재인 ㅋㅋ,1
"초지일관 종전선언 추진하라... 한바도 70년 전쟁상황 끝내자... 누구처럼, 해보다 힘들면 ""철수""하지마... 우리 후손들은 전쟁공포 없이 살게 해주라.",1
니 제대로 군대 갔다 왔니 전쟁이 그리 좋으냐 지금 우리는 신기록 을 향해 가고 있어 유럽에서 100년 전쟁이 있었어 우리는 200년 전쟁 기록 한번 세워보지,1
대선에서 미역국 먹었다고 상대를 그렇게 헐뜯으면 치사한거다. 언능 철수해!,1
축소지향적 정치인생을 살더니 이젠 영양가없는 말 제조기가 되었네,1
"철수, 쓰잘데기 없이 신경쓰지말고 달리기나 계속하시게나 ㅋㅋㅋ",1
종전선언은 북한한테 한국 쳐들어 오라는 신호보내는거자나,1
그래서.너의 정체성은 무엇인데?모자라도 너무 모자라다..달리기나 해 제발.,1
간철수로 개명해라,0
예끼놈~! 안어벙이는 미얀마 고산족 여자처럼 생긴 매경이 치마숙에서 놀거라!,1
코로나치료나 하시지요,1
얜 너무 순진해. 문재인 주위에 있는 히틀러 괴벨스 수준의 선동가들을 당해내지 못해. 국민들은 아무 것도 모르고 나라가 흔들리고 있어,1
"전시상황을 유지하고 싶은 건가... 언제 터질 지 모르는 불안감을 안고 살아 가야 한다는 말이냐.... 중국, 일본이 원하는 그림이겠지...",1
오랜만에 맞는 말씀을!!,0
당연히 종전해야지 철수는 전쟁이 지속되는 게 좋냐?,0
어제 방송안봣냐? 독백만은 아닌것 같던데? ㅋㅋㅋ,1
찰스는 대통령감 아니야,0
넌 얼굴안보여주는게 애국이다,1
문대통령은 남북관계 개선위해 최선을 다하고 있어요,1
촬스~~~아직 정치해???????,1
그러면 전쟁선언을하랴~~~!철수야 뜻이 있는곳에 길이 있다는 진리를모르느냐 ? 알턱이 있나~~~,1
애쓴다 애써,0
안철수와 윤석열이 손잡고 새로운 당 만들어라...대한민국을 살릴 유일한 길이다...한국당은 주사파와 한패야..,1
시끄럽다....................!!!,0
정신병환자의 스토킹 맞아요 그걸 이제야 알았다니 당신도 한심한 물건이네요,1
"철수야 ,너나 ,잘하세요",1
존재감도 없는데 계속나오네,1
내는 문재인대통령이 자랑스럽다.그래서 좌측으로만 앉는다.폰도 왼손으로만 잡는다. 대북 평화통일은 선점하는게 맞다. 글고 통일되긴 할듯.,1
정신빠진 정치인 ᆢ 국민을 위해 종전 선언을 중단하라 ?ㅡ국민을 위해 전쟁하라는 말인가 !💢 ㅡ 국가가 하는일을 스토킹에 비유하고 ㅡ앞뒤 맞지않는 언행을 보이는 안철수 ㅡ 안ᆢ철수 할꺼니 ㅡ 쫏겨나봐야 정신 차랄래 ㅡ,1
안철수 씨사업이나 하세요그동안 정치 하면서 제대로된 법안한번 내놓은게있나요자기 그릇을 알아서 사회구성원으로 사는것도애국 하는일입니다대권의 꿈은 버리세요 헛된꿈 버릴 나이도 됐잖아요정치입문후상대방을 헐뜯는것만 배운 당신이 안타까워서 몇자올려봅니다,1
비핵화 어지간히 떠드는데 북이가진 핵이 문제인지. 주변국들이 문제인지 생각좀하고 떠들자.,1
"꼽살이,, 백신이나 개발해라.여기저기 헛소리 그만 하고. 너 배신자야.",1
그래도 넌 좀 다를줄 알았더니...하나는 알고 둘은 모르는 대통령병 걸린 왕자처럼..ㅉㅉ김종인 할배말이 딱맞네..! 넌 아무리 짖거려도 대통령 그릇은 아님미다아~,1
본인이 한말 본인한테 대입해도 똑같은데 ?? ?? ? 짝사랑이 지나치면 스토킹 당신을 뽑아줄 사람은 없는데 ? 이미 당신의 밑천이 다 드러난판국에 뭔 ㅋㅋㅋ,1
그러니까 그럼 전쟁하자는 거냐 라고 반문하는거다 철수야 .한 사건으로 국가의 역사를 거르치는 짓은 하지 않는게 지도자의 길이다 지도자는 100년 미래까지 생각해야 하는 것이고 철수야,1
칠수야! 니가.스토킹수준이다.,1
"문재인 간첩 이라 의심드시는 분 찬성, 설마 아니야 하시는 분 반대 눌러봅시다.",1
헉! 이제야 알았다니,0
박헌영 김원봉처럼 북으로 보냅시다,0
노랑 목도리 걸어주며 문후보 지지했던 분 이닌가?,0
그때 박원순 문재인한테 양보하지 말았어아 했어요....보세요! 선의의 양보가 쓰레기 결과물을 냈잖아요. 양보 안하셨으면 전서울시장은 닳아빠진 신발 뒷굽끌며 자살안하고 평범하게 살고 있을거고 현정권은 시장경제 다 분탕쳐놓고 중국북한 개처럼 행동하잖아요 일본상대로만 잘하고 나머지는 빵점도 아니고 다 마이너스야. 이건 안철수님 책임도 없지않아 있어요.,1
요즘안철수가 자기목소리를 잘낸다. 좀더센 안철수의 정치를 기대해본다.,1
말 만들지 마라더 분통터진다,1
지지합니다.,0
진짜 문재인 머리 있냐? 걍 북한으로 가버려 너같은 거 대한민국 국민으로도 이름이 아까워 제정신이냐? 이러고 미군철수 하라고 진짜 미안한데 사라졌으면 좋겠어,1
대중적 기반을 잃은 정당들이 당명에 국민을 써 붙이고 저희 패거리들만 국민이라고 주장하는 어처구니 없는 상황이다. 선거 한 번만 더 치르면 해결될 문제이긴 하다.,1
그러니 자내당은 존재가치가 없어~~~? 국민이지지하질안찮아~~? 철수야~~~!!!,1
김정은이가 나뫈은 상대가 안된다고 과신하고 오판하고 있는데 문댕이가 굽신거리니..... 오판전쟁을 유발하는건지 모르겠다.,1
니보면 더 분통터진다. 임마,1
국회의원이 아닌 일반당원이 대표가 되면 월급 얼마 받고있나 전수 조사 해야한다,1
문재인이 돼지 김정은 쫄다구라는건 대깨문 빼고 다 알지 않나요.. 하긴 대깨문이 40% 넘는다고 구라미터에서 나왔지.. 몇년만에 한번도 경험하고 본적 없는 나라가 되었으니.. 불법이 합법이되는 세상..,1
그러게 왜 양보하냐 . . . 바보 양보 철수야,0
"우리나라의 희망안 철 수, 지지 합니다.",0
니가 양보해서 이지경 ㅁㅊ,0
상습도박하다 빚쟁이에 쫒겨 물놀이 튜브 준비해 감싸고 구명조끼까지 무장하고 눈에 안띄려 껌껌한 밤에 당직서다가 pc작업한다며 거짓말하고 도주한 것 같은디 너무 감싸는 것 아냐?,1
도로명주소를 만든 사람을 찢어발기고 싶다.,1
코로나 터져서 아무도 안가는 대구에 내려가 국민들 곁에 함께 한 정치인도 안철수고 V3 만들어 국민들이 무료로 쓰게 해준 것도 안철수지 우리나라 정치인중 안철수 만큼 사회에 도움된 정치인 있어? 없잖아 그래서 난 안철수가 좋아,1
자국민이 비상식적인 북한에 의해 죽었는데도 아랑곳안하고 이딴 방송을 보내다니.정신이 있습니까?,1
나는 철수 니가 더 분통터진다..,1
문재인이 대통령 이난것이 박근혜이상으로의 실정으로 이어졌고 대한민국 발전 동력을 살실했다 문가놈은 하루빨리 끌어내려야 한다!,1
안철수 화이팅!!,0
스토커는 하나의 정신병의 일종인데 문똥은 북한 김정은 기쁨조가 아니고서야 어떻게 저렇게 입만열면 북한 북한거리고 평화 화해 통일 종전선언을 입에달고 사는지 이건뭐 대똥령으로 뽑아줫더니 김정은을 못만나 안달난것처럼 짝사랑도 눈물겨워 더이상은 못봐주겠고 문똥이 안쓰러울정도니 문똥마음을 몰라주는 김정은 나빠요 어떻게 저리 우리 문똥사랑을 강아지보다못하게 모른체하냐?,1
아무리 발부등 쳐봐도 대통령되기는 글렀는거 같다.철수야,1
죄인이 북한 이먼저다 쩝쩝,1
국민담화는 안하는게 좋아요. 어설프게 종전선언 등 국민정서에 맞지않고 북바라기 소리만하면 국민염장만 질러대면 누가 책임지것소. 혹 북돼지처럼 눈물흘리며 참회의 담화면 OK지만...,1
나도 니가 아직 있어 분통터진다,1
우리나라에 그래도 멀쩡한 정신을 갖고 있고 국민이 필요로 하는 곳에 늘 함께 하는 안철수라는 정치인이 있어 다행이다전부 비리 덩어리들만 있는 정치권에 한줄기 희망같은 정치인이다,1
보도 무지하게 해주네...나를 저 정도 띄워주면...벌써 대통령 됐을텐데...,1
예전 문후보에게 양보했을때 분통이 터져 쳐다보지 않았으나 그후 그래도...하면서 지지했다가 해외나가시더니....나라 망하게 생겼어요 공산주의 사회주의 안됩니다. 철수님 바로ㅠ세워주세요. 스스로는 저사람들 안내려올겁니다.,1
늘 하는말....너나 잘하세요~,1
이낙연 대통령 밑에서 5년더 살고싶냐? 깜타령보다 이기는게 먼저다 안철수 말고 반문진영에 인물 없다 잘생각하자,1
북한을 떠 받들면 자기가 위대한 민족주의자인줄 착각하나봐요 ㅡ북한에서는 단순 이용물인데 ㅡ,1
당신은 국민보다 엠비먼저^_^,1
할줄 아는 게 네거티브 뿐인가요? 프레쉬함은 찾아볼수가 없어졌네요,1
"안철수 대표는 11일 자신의 소셜네트워크서비스(SNS)를 통해 ""우리 국민의 참혹한 죽음을 대하는 이 정부의 태도에서 어떤 분노나 절박감도 찾아볼 수 없으니 분통이 터진다""며 이같이 적었다.",1
아... 그냥 의사나 콘서트만 하시지... 도통 나라에 도움되는 행동을 본적이 없네 ㅠㅠ,1
우짜노 종인이형이 안씨는 관심없다네 ㅉㅉ더분발해야겄어,1
간첩이 아니고서는 절대로 할 수 없는 짓거리를 하는 것들.,0
안철수만 생각하면 원망스럽다..그렇게 문재인 잘알고 대선지지율도 모자란데..왜 끝까지단일화 안해서 ..이런꼴을 만들었냐...박원순만 잡았어도....,1
안철수님 응원합니다 우리나라 살려주셍ㆍ,1
지도 알것쥬..근데 왜안내려오냐고요!,1
아직도 문가 편드는 자들은 얼마나 더 무시를 당하고 뒤통수를 맞아야 정신을 차리려나! 제발등 제가 찍는건 좋은데 왜 다른 국민들까지 피해보게 만드냐구...,1
우리 철수도 한마디 해 주세요?무슨 말을 해야 하지요?제발 까지는 말고...좀 건전한 정책대안 같은 것으로...생각해 본 적이 없어서요. 그냥 까는 것 하면 안돼요?,1
너나잘해,1
안철수 당신이 빨갱이 아닌거. 그거 하나는 정말 맘에 든다..,1
종전선언!~>평화가 왔는데 미군과 UN군은 나가라! 외세는 나가라 양키고우홈!~~>와 진짜 우리민족끼리 세상이다^^~>북한군 기습남침! 제2차 한국전 발발~>문재인 성명! 이건 내전입니돠!미국과 UN은 개입하지 마십시오!~~>북한군 서울 점령 이어서 반격시 핵으로 포격성명~>문재인 성명!여러분 서울이 점령당했습니다!전쟁보다는 평화가 낫지않습니꽈?우리민족끼리 항복하고 통일합시돠~!~~>전라도민 그리고 부산시민 제주도 의열렬한 항복 지지선언!~~>전쟁중 촛불 평화 축제~~》전쟁발발 3개월 대한민국 패망~! (역사속 매우 뻔한 시나리오),1
그걸 이제 알았냐 철수야,0
그럼 북한에 가서 따져보던가 그럴 능력도 배짱도 없으면서 여기서 입만 나발나발 ㅉㅉ,0
하루이틀일이냐 이미 포기했음,1
문재앙은 돼지 하수인 저런 인간이 대통령,0
쫌닦치고 조용히살라!!,1
철수야 그냥 가만히 있어라가만히있기 싫으면 뛰어라,1
철수 이인간 그렇게 안봤는데 이상한 소리 자꾸하네. 말도 안되는 허튼소리 그만좀 하고 자중하는 길이 너에게 도움이 될 것이다.,1
대통령까지 인재는 아니라고본다. 아바타 수듄,1
옛날 자한당이 하던 얘긴데... 가고싶나보다,1
안철수 화이팅! 주호영 .김종인. 문재인보다 열배는 낫다 .안철수의 속시원한 소리에 문재인의 속시원한 대답을 기다린다.,1
북한이 먼저다..국민은 꺼지삼,1
문빠들 많이 긴장했네,0
지가 뭐라고 분통 터지노??? 니 존재자체가 더 분통터질거 같은데;;,1
안철수 이명박 아바타답게 처음에 언론플레이 오지게 했지. 진보인 척 가장했던 보수 정체 안 들킬 줄 알았냐? 니 와이프와 너 삶 전체가 술수와 거짓. 1+1 특혜 ㅋㅋㅋㅋㅋ,1
서울시장까지만 생각해본다,0
정치 지도자는 평화통일에 대한 굳은 의지와비젼을 제시해야한다. 이러한 이상과꿈 그리고 목표 없이 한반도에서 정치하겠다는 사람은 포기하는 것이 우리 민족의 미래를 위하여 좋을 것이다.,1
ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ업ㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂㅂ버~~안초딩!오늘 학교 안갑습니콰???,1
철수야! 너는 50%가 넘는 국민들이 지지를 보낼 적에는 무엇을 하고 있다가 현재 3%도 되지 않는 지지율에 대해서는 무능한 자신에게 분통이 터지지 않니? 제발 주제 파악 좀 하거라. 주식도 15%만 하락하면 손절하고 40%가 넘으면 익일 동시호가에 하한가로 자동매각한다. 현재 너의 지지율 정도로 떨어지면 구명조끼 입고 바다에 뛰어들여야 하는 것인데 그냥 조용히 만 있으면 국민들이 잊고 니 명대로 살 수 있는데 왜 천명을 거역하니?,1
개념없는 소대가리라 그냥 김정은한테 충성을보이는거지,1
제발 안철수님 대통령 해주세요 문쭵쭵이 깜방넣는거 잊지말고요,1
"철수야~지금 문대통령님 처럼 국민생각하는 지도자 봤니~??, 너같은 금수저하는 질적으로틀리다~!!, 자네 엄청난 재려카로 알고 있는데..진정 국민을 위한다면 말로 나불거리지 말고 재산에 절반 기탁해라~!!!",1
"정치판의 ""얼치기"" 안철수의 속내.......정치에 중독되어 사장질. 의사질은 몬하겠고, 정치는 계속하고 싶은데 지지기반은 빈약하고.. 그래서 선택한 곳이 국민의짐... 오늘도 철수는 외치고 있다. ""난 원래 니들 편이었어.. 니들과 같은 부류야.. 쫌만 있다가 갈게 대선후보 시켜줄 거지?..다른 애들보다는 내가 낫잖아!..""라고 몸부림을 치고 있는 것이다.",1
안철수.......이번 공무원 사건은 안타깝지만....... 확율적으로 봐도 월북이 거의 확실한 사안이다. 정쟁화 하기 위해백만분의 일도 안되는 실족으로 억지 주장을 하고 있을 뿐. 더구나 실족으로 빠진 사람이 의도적으로 가기도 힘든 곳 까지 갔다는 주장은 더욱 설득력이 없다.,1
비난하기 위해 툭튀어나와 앵앵 거리는거 이제좀 그만할수 없어? 진중권의 쓰레기같은 입까지 빌리더니 학습효과야? 그래서 안초딩 안초딩 하나보다. 에휴 넌 진짜 밑천 다끝났어.,1
문대통령 좀 자리에서 끌어내려줘요~ 경제 말아먹었지 지금 나라빚은 많지 우리나라 사람이 서해안에서 살해당해도 가만 있지 참 ㅋㅋ 저게 대통령인가?,1
오랜만에 맞는 소리하고 있군,0
핵있는 놈들한테 그럼 뭘 어쩌라고 계속 미사일로 쏴대면 이기는건가??,1
맞는 말!,0
안철수 주위에 왜 사람이 없어지는지 알겠어요. 처음에 엄청 팬이었는데 시간이 갈수록 불쌍한 사람이 되어가는군요.,0
전쟁나면 너도죽고 너희들 가족도 다죽고....나도죽고 나의 가족도 다 죽는단다....정신들 차리거라....ㅉㅉㅉ,1
간첩이 대통령인 세상,0
영국과 프랑스는 불명예와 전쟁 사이에서 선택해야 했다. 그들은 불명예를 선택했다. 그리고 그들은 전쟁을 겪을 것이다.윈스턴 처칠. 찰스는 처칠처럼 행동하라,1
안철수 아직도 살아있냐? 주식 재산 띄우려고 한번씩 언론에 나오나.,1
"끊임 없이 남북대화 노력하는 문재인 대통령, 성과가 반드시 나올 것이다.",1
어디 꺼내놔봐-- --제가 명박이 아바탑니까---당신은 그말이 제일 어울려---- 암 --그렇고 말고 --분통은 --여자들 필수품인데 ---영희것 가지고 다닌갸벼--- 그게 터졌어 ?,1
내가 형 진짜 팬이었던거 알지? 형이 대통령되려면 문재인 까지말라고... 문재인이 뭘하든 좋다는애들이 40퍼가 넘는데. 통합? 되겠어? 그리고 쌓인거 많아도 대통령감이면 미래에 대한 비전을 제시해야지 허구헛날 꼬투리잡아서 까는걸론 형 겁나 소인배로 밖에 안보여. 네거티브가 효과가 좋긴한데 대통령감이 저격수질하는거.. 그런대통령 뽑힐거라 생각하면 형도 국민을 개돼지로 보는거. 형은 말싸움도 못하고 그걸 서포트할 일베 보배 같은 벌레집단도 없다 그치? 근데 왜 자꾸 그걸로 승부를 걸어? 할수있는것과 해낸것 형은 해낸사람이잖아,1
나는 너가 정치적인 발언하면 분통터지는데~,1
그래.. 누가 해도 재앙보단 낫겠지...,0
지도자가 이런 말하면 안된다. 문통 당선 1등 공신이 이런 말하면 국민들은 귀를 의심할 수 밖에 없다. 이 부분을 해결할 능력이 없다면 더 이상 정치할 생각을 말라.,1
근데 민주당애들은 지금 문재인편이야? 안철수편이야? 둘 다 알잖아,1
아는게 위안부 징용자 북한 밖에 없어 그러니 이해하소 ㅋㅋ,1
안철수 당신이 대통령 만들어준거야. 그건 아는거냐?,1
종아요3638/안좋아요115...ㅋㅋ,1
전적으로 맞는 말~~,0
맞는 말이다!,0
이 사람도 이제 정치인 티가 나오네. 이때다싶어 똥물 끼얹고 흉보는 더러운 정치인들. 구역질난다.,1
서울시장 깜이 대통령하겠다고 원숭이한테 물려줘서 성시장만든 철수가 분통터진다.,1
철수가 나오면 영희도 지지한다.경제와 외교 살리는 발언봄 해주라,1
안초딩이지만 이번만큼은 맞는말이다. 진짜 배신감 느끼고 존경심이 바닥까지 내려갔음 이번 일로.,1
3638/115,0
중국도 국민 보다 우선이죠.,1
"국민들 왈 ""왜 깐대통령 또 까는 거야"". 안철수왈 ""안깐것만 골라 깐건데..."" 국민들 왈 ""까지말고 공부나해""... 안철수 왈 ""내 이나이에 공부하레"". 국민들왈 ""독일 가서도 마라톤만 했지...공부한 것 있어?"" 공부한 것 있으면 까지만 말고 정책대안을 제시해봐"". 안철수왈 ""내 정책대안은 이미 다 나와있어. 문통 반대로 만 하면 돼"".ㅎㅎㅎㅋㅋㅋ수근수근",1
남한에 불바다 소리를 안하니까 그런 말들일하지!철수는 철이 지났잖아! 당신이 무슨 분통이 터지냐? 다음 대선에 어떻하든 들고나올려는 꼼수지! 지난번에 끝났잖아!,1
울산 화재. 큰 일 날 뻔했는데 침착한 대응이 빛났습니다. 역시 국민이 먼저라는 문통이 생각나는 군요. 짝째짝. 안 그랬으면 또 겁나게 물고 뜯고했을 텐데,1
"종전선언 고집하는 이유는 두 가지다. 1 주한미군의 명분을 없해는 것. 2 임기내의 치적으로 삼아 다음 대선 선전용으로 활용하려는 것. 임기내 어떤 성과도 없고, 모든 곳이 엉망이고 원성뿐이라, 허울뿐인 종전선언이라도 하고 반세기 이상 대결구도를 자기가 끝냈다고 요란하게 선전해 다음 대선에서 민주당이 또 집권하려는 계획임.",1
국민위에 문재앙이 있고 문재앙 위에 김정은이 있다.,1
간잽이는 오늘도 뻘소리 내일도 뻘소리 ㅉㅉ,0
웃기는짜장. 잘하는 대통령 괜히 트집.,1
철새는 짖다가 날세겠네...,1
아...뛸수형~~그냥 뛰어~,1
안철수 차기 대통령 나오면 뽑아준다.....,0
영희가 불러 빨리꺼져,1
"문재인 정권은 사람들에게 공산당 같다, 빨갱이 같다 라는말이 듣고싶지 않다면 그렇게 안하면 된다. 근데 그렇게 안하잖아? 북한을 빨아도 정도껏 빨아야 되는데 이건 마치 북한사람 같다.",1
누가하든 문재인 보다 잘할듯,1
그럴줄 모르고 양보했나?,1
"진짜 이 정권들어서 분통 터지는 일들이 하나,둘 아닙니다.정말 살다살다 이렇게 사리판단 없이 권력 남용하는 이정권 꼴불견입니다.국민들 원성이 무서운건지 목소리 다 틀어막으려 엄청 애쓰는거 북에의해 죽은 아비 구하는데 열정좀 쏟지 진짜 중요한 사안에는 늘 침묵만 하고 있고 북에대한 짝사랑 국민들 원치않고 지금 이나라 경제며 젊은이들 일 차리나 신경쓰세요.인구 줄고 있는 심각성도 깊이 생각좀해보시길",1
닥치고 그냥 또 가방매고 뛰러가라~~~ㅋ,0
그냥 철수하고 가라 지겹다 지겨워,0
당신이 만든 소대가리다 먼양보,1
언제는 저쪽 좋다고 붙어 먹다가... 보는 눈이 그렇게도 없었나 이제라도 좀 잘합시다,1
팩트) 문재인은 사람이 먼저다 라고 했지 국민이 먼저다 라고 한 적이 없다. 잘 보고 뽑았어야지,1
현실은 그래도 대가리 깨진 좀비들이 여전히 40프로나 된다는거 그냥 다 데리고 북으로 가줬으면,1
허울뿐인 껍데기만 대통령..,1
"文대통령 "" 안철수 , MB보다 아바타 먼저…꼴통 터져""",1
이재명 및 문재인 아바타와의 삼파전은 필승지세고 문재인 아바타와의 양자대결도 이긴다. 안철수 파이팅!,0
옳소~~~~,0
안철수 이 사람 황교안 저리가라 라고 밴뎅이 소갈딱지네,1
안철수님 그걸 알면서도 박원순 문재인 두 좌파한테 양보한건가요? ... 똑똑하신분이 왜그러셨죠? 대통령감은 아니다,1
미통당 안철수 어제도 오늘도 열일하네,0
"안철수 할 수 있는게 문통까기... 까다가 심심하면 마라톤하기.....그것도 실증나면 또 문통까기...그러다가 까기대통령으로 출마해서 국민들로부터 쪼인타 까지겠지. 그러면서 "" 왜 나만 까는거야"".....",1
안철수가 이젠 전광훈 부류로 등극했구나? 무엇을 얻으려고? 넌 안돼? 널 지지했던 사람들이 얼마나 창피해 하는지 모르지?,1
국가의 지도자는 나라의 100년 앞을 생각해야 한다 철수야 몇번을 가르치냐 이번 공무원 사건은 안타깝지만 이 사건으로 나라 전체의 운명을 내팽개치지 않아야 한다 철수야 영이랑 놀이라,1
독일통일되듯 통일되면 고첩 북노당 당원 다 알수있다.. 재인아 그리고 그 똘마니들 아마도..,1
레알 북한외교관 문재인임 정은이 실드파워 무한부둥부둥,1
북한 앞잡이보다는 포퓰리스트가 낮다. 북한을 위해 한푼도 쓰지말고 국민들을 위해 돈을 쓰라.,1
어? 철수 아직 한국서 철수않했네? 똥볼 차구 철수한줄알았는데,1
명확한 진실규명이 되어야 되고 재발방지책 또한 마련해야 된다,0
도대체 중년들이 그토록 말하는 대통령감이란게 뭔가? 선동을 잘하고 뻔뻔하며 당당하게 거짓말하고 철면피로 말 잘하는 사람인가? 그래서 문 뽑아 다들 집안은 안녕하십니까?,1
좌파들아 조폭이 네딸을 사랑한다고 말하면 네 딸을 조폭에게 보내줄수 있냐? 사랑한다는 말이 중요한것이 아니라 어떤 인격을 가진 사람이냐가 중요한것이다!!! 좌파들은 멍청해서 이런 사리분별을 할수 있을까?,1
지금도 그 양반은 귀닫고 지 생각만 할뿐,1
그러게요 어디나라대통인가??늘 그게의문예요 항상북한북한 하니 북한대똥인가 싶기도하고ㅠ,1
난 안철수 별로 좋아하지 않는데 .. 안철수 말이 다 맞다 .. 그런데 어쩌냐 ?? 이미 우리 국민들은 문재인이 주는 재난지원금 - 젊은애들은 취업지원금 . 통신비 .. 법인 택시기사들도 지원금등 돈 몇푼에 - 현 정부에대한 비판의식나 투쟁정신이 완전히 사라져 버렀다 .. 문재인이 우리국민들 수준을 잘 알고 이럴 잘 이용 한거지 ㅠ,1
아직 살아있었구나? 걍 연구소나 하지. 뭐하러 정치를 하냐. 뭐하나 바꾸지도 못하면서.,1
네 말 맞다-,0
